# R2 invariant corpus. Generated from audited invariant/smoke sources; target maps must join by id and grep strong_needle from this file.
# id	source	strong_needle	target_constraint	notes
INV-001	SKILL.md routing policy approved 2026-07-16	Discussion, ideation, recommendations, explanations, status requests, and wish formulations do not authorize implementation; keep them direct and read-only.	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-002	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never writes code directly and never auto-picks a risky action	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-003	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	otherwise ask one plain-language question	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-004	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	STOP at the pre-build approval gate	core-always-or-approved-target	class=CORE-ALWAYS+GATE-CHECKABLE; current_target=SKILL.md
INV-005	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	then STOP. No plan and no code	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-006	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	STOP with a resumable backlog run	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-007	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	do not silently invent a plan	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-008	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Never use when the user asked for	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-009	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	ONE code-review lens	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-010	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	No code edits	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-011	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	no edits until the user chooses a slice	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-012	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	phases 0–4, then STOP	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-013	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	blind implementation is forbidden	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-014	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	shows them for approval	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-015	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	It does not edit code	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-016	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never auto-committed	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-017	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	exploit paths	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-018	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never persisted	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-019	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	HARD RULE	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-020	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	NEVER paste a full artifact into chat	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-021	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Gate verdict = ONE line	core-always-or-approved-target	class=GATE-CHECKABLE; current_target=SKILL.md
INV-022	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Narration ≠ persistence	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-023	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Density NEVER costs rigor	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-024	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never for gate criteria, scores, or thresholds	core-always-or-approved-target	class=CORE-ALWAYS+GATE-CHECKABLE; current_target=SKILL.md
INV-025	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	No speculative abstractions, no features beyond the request	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-026	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Severity never higher than provable	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-027	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	done/green/root cause found	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-028	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Beyond ~10 → stop and ask the user first	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-029	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	blocks the review-gate call	core-always-or-approved-target	class=GATE-CHECKABLE; current_target=SKILL.md
INV-030	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/active-run.sh start --run .kimiflow/<slug>	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-031	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/background-run.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-032	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	cannot be applied blindly	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-033	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/agentic-readiness.sh status|gate	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-034	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Never loop forever	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-035	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	verbatim only for a snippet under ~15 lines	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-036	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/launcher-status.sh --pretty	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-037	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	do not auto-pick	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-038	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/working-tree-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-039	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	STOP before changing files	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-040	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	ask one simple question	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-041	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	requires a target path	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-042	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	refresh-baseline --write	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-043	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	git rev-parse --is-inside-work-tree	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-044	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	In doubt, the smaller tier	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-045	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	resolve-verbosity.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-046	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	you MUST ask once	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-047	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	project-map-status.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-048	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	PMS coverage --affected	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-049	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	one plain-language question only if the request lacks	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-050	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	never auto-pick	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-051	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Does this match?	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-052	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Did I understand the problem correctly?	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-053	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	Is this the right cleanup scope?	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-054	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/clarify-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-055	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	<!-- kimiflow:clarify-evidence mode=questions count=2 confirmed=yes source=current-run -->	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-056	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	hooks/memory-router.sh status	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-057	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	MR recall --query-file	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
INV-058	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	record the graceful skip and continue	core-always-or-approved-target	class=CORE-ALWAYS; current_target=SKILL.md
INV-059	2026-07-02-token-restructuring-invariants.md + 2026-07-02-invariant-check.sh:SKILL rules	current-state-gate.sh	production-target-required	class=GATE-CHECKABLE; current_target=SKILL.md
